,date,MCD stock,isPartial
18,2014-01-19,0.0,False
19,2014-01-20,0.0,False
20,2014-01-21,10.85,False
21,2014-01-22,19.53,False
22,2014-01-23,31.0,False
23,2014-01-24,25.11,False
24,2014-01-25,5.27,False
25,2014-01-26,10.23,False
26,2014-01-27,8.68,False
27,2014-01-28,26.04,False
28,2014-01-29,13.33,False
29,2014-01-30,20.15,False
30,2014-01-31,22.94,False
0,2014-02-01,17.360000000000003,False
1,2014-02-02,7.280000000000001,False
2,2014-02-03,19.040000000000003,False
3,2014-02-04,24.92,False
4,2014-02-05,9.520000000000001,False
5,2014-02-06,11.48,False
6,2014-02-07,23.8,False
7,2014-02-08,10.920000000000002,False
8,2014-02-09,12.040000000000001,False
9,2014-02-10,12.32,False
10,2014-02-11,14.560000000000002,False
11,2014-02-12,12.600000000000001,False
12,2014-02-13,14.840000000000002,False
13,2014-02-14,17.64,False
14,2014-02-15,22.400000000000002,False
15,2014-02-16,7.280000000000001,False
16,2014-02-17,6.44,False
17,2014-02-18,12.32,False
18,2014-02-19,25.480000000000004,False
19,2014-02-20,17.080000000000002,False
20,2014-02-21,15.400000000000002,False
21,2014-02-22,14.840000000000002,False
22,2014-02-23,0.0,False
23,2014-02-24,14.560000000000002,False
24,2014-02-25,14.560000000000002,False
25,2014-02-26,28.000000000000004,False
26,2014-02-27,19.040000000000003,False
27,2014-02-28,15.400000000000002,False
0,2014-03-01,0.0,False
1,2014-03-02,6.4,False
2,2014-03-03,13.44,False
3,2014-03-04,16.32,False
4,2014-03-05,8.0,False
5,2014-03-06,13.44,False
6,2014-03-07,16.96,False
7,2014-03-08,12.8,False
8,2014-03-09,0.0,False
9,2014-03-10,24.0,False
10,2014-03-11,24.0,False
11,2014-03-12,26.88,False
12,2014-03-13,16.32,False
13,2014-03-14,11.200000000000001,False
14,2014-03-15,6.4,False
15,2014-03-16,12.16,False
16,2014-03-17,10.88,False
17,2014-03-18,21.44,False
18,2014-03-19,21.44,False
19,2014-03-20,19.2,False
20,2014-03-21,16.96,False
21,2014-03-22,12.48,False
22,2014-03-23,6.08,False
