,date,MAT stock,isPartial
9,2013-10-10,14.560000000000002,False
10,2013-10-11,15.120000000000001,False
11,2013-10-12,11.760000000000002,False
12,2013-10-13,11.48,False
13,2013-10-14,0.0,False
14,2013-10-15,9.520000000000001,False
15,2013-10-16,14.280000000000001,False
16,2013-10-17,9.520000000000001,False
17,2013-10-18,15.120000000000001,False
18,2013-10-19,22.680000000000003,False
19,2013-10-20,16.520000000000003,False
20,2013-10-21,18.48,False
21,2013-10-22,0.0,False
22,2013-10-23,28.000000000000004,False
23,2013-10-24,9.520000000000001,False
24,2013-10-25,0.0,False
25,2013-10-26,11.200000000000001,False
26,2013-10-27,10.920000000000002,False
27,2013-10-28,18.200000000000003,False
28,2013-10-29,9.24,False
29,2013-10-30,14.280000000000001,False
30,2013-10-31,9.8,False
0,2013-11-01,8.64,False
1,2013-11-02,9.6,False
2,2013-11-03,0.0,False
3,2013-11-04,7.92,False
4,2013-11-05,15.6,False
5,2013-11-06,15.84,False
6,2013-11-07,0.0,False
7,2013-11-08,8.4,False
8,2013-11-09,0.0,False
9,2013-11-10,0.0,False
10,2013-11-11,7.92,False
11,2013-11-12,7.92,False
12,2013-11-13,15.6,False
13,2013-11-14,24.0,False
14,2013-11-15,0.0,False
15,2013-11-16,0.0,False
16,2013-11-17,0.0,False
17,2013-11-18,7.68,False
18,2013-11-19,11.76,False
19,2013-11-20,0.0,False
20,2013-11-21,23.759999999999998,False
21,2013-11-22,8.16,False
22,2013-11-23,0.0,False
23,2013-11-24,8.879999999999999,False
24,2013-11-25,7.68,False
25,2013-11-26,11.52,False
26,2013-11-27,7.92,False
27,2013-11-28,8.4,False
28,2013-11-29,16.8,False
29,2013-11-30,18.72,False
0,2013-12-01,10.559999999999999,False
1,2013-12-02,18.24,False
2,2013-12-03,18.72,False
3,2013-12-04,0.0,False
4,2013-12-05,9.6,False
5,2013-12-06,0.0,False
6,2013-12-07,11.28,False
7,2013-12-08,0.0,False
8,2013-12-09,15.6,False
9,2013-12-10,9.36,False
10,2013-12-11,9.6,False
11,2013-12-12,0.0,False
12,2013-12-13,10.08,False
13,2013-12-14,0.0,False
