,date,DIS stock,isPartial
23,2013-10-24,8.67,False
24,2013-10-25,11.22,False
25,2013-10-26,0.0,False
26,2013-10-27,0.0,False
27,2013-10-28,2.04,False
28,2013-10-29,10.540000000000001,False
29,2013-10-30,4.25,False
30,2013-10-31,6.630000000000001,False
0,2013-11-01,10.35,False
1,2013-11-02,1.95,False
2,2013-11-03,1.7999999999999998,False
3,2013-11-04,3.15,False
4,2013-11-05,6.3,False
5,2013-11-06,1.5,False
6,2013-11-07,9.6,False
7,2013-11-08,15.0,False
8,2013-11-09,1.95,False
9,2013-11-10,3.75,False
10,2013-11-11,6.3,False
11,2013-11-12,7.8,False
12,2013-11-13,6.3,False
13,2013-11-14,4.8,False
14,2013-11-15,3.3,False
15,2013-11-16,3.75,False
16,2013-11-17,3.75,False
17,2013-11-18,3.15,False
18,2013-11-19,4.6499999999999995,False
19,2013-11-20,3.15,False
20,2013-11-21,7.949999999999999,False
21,2013-11-22,0.0,False
22,2013-11-23,3.5999999999999996,False
23,2013-11-24,1.7999999999999998,False
24,2013-11-25,4.6499999999999995,False
25,2013-11-26,9.15,False
26,2013-11-27,0.0,False
27,2013-11-28,3.3,False
28,2013-11-29,5.1,False
29,2013-11-30,1.95,False
0,2013-12-01,3.7199999999999998,False
1,2013-12-02,6.359999999999999,False
2,2013-12-03,8.64,False
3,2013-12-04,4.32,False
4,2013-12-05,11.04,False
5,2013-12-06,10.32,False
6,2013-12-07,10.44,False
7,2013-12-08,0.0,False
8,2013-12-09,8.76,False
9,2013-12-10,12.0,False
10,2013-12-11,8.76,False
11,2013-12-12,9.0,False
12,2013-12-13,10.559999999999999,False
13,2013-12-14,2.6399999999999997,False
14,2013-12-15,5.279999999999999,False
15,2013-12-16,3.36,False
16,2013-12-17,3.36,False
17,2013-12-18,2.28,False
18,2013-12-19,5.76,False
19,2013-12-20,8.52,False
20,2013-12-21,4.08,False
21,2013-12-22,5.52,False
22,2013-12-23,8.52,False
23,2013-12-24,10.92,False
24,2013-12-25,6.0,False
25,2013-12-26,7.56,False
26,2013-12-27,11.04,False
27,2013-12-28,2.6399999999999997,False
28,2013-12-29,2.6399999999999997,False
29,2013-12-30,12.0,False
30,2013-12-31,8.04,False
0,2014-01-01,0.0,False
1,2014-01-02,5.59,False
2,2014-01-03,4.16,False
3,2014-01-04,0.0,False
4,2014-01-05,1.56,False
5,2014-01-06,4.03,False
6,2014-01-07,7.800000000000001,False
7,2014-01-08,2.6,False
8,2014-01-09,5.2,False
9,2014-01-10,2.73,False
10,2014-01-11,0.0,False
11,2014-01-12,0.0,False
12,2014-01-13,5.07,False
13,2014-01-14,13.0,False
14,2014-01-15,3.9000000000000004,False
15,2014-01-16,3.9000000000000004,False
16,2014-01-17,0.0,False
17,2014-01-18,3.12,False
18,2014-01-19,1.4300000000000002,False
19,2014-01-20,1.3,False
20,2014-01-21,3.77,False
21,2014-01-22,6.37,False
22,2014-01-23,5.07,False
23,2014-01-24,6.63,False
24,2014-01-25,1.4300000000000002,False
25,2014-01-26,1.4300000000000002,False
26,2014-01-27,1.3,False
27,2014-01-28,8.84,False
28,2014-01-29,3.77,False
29,2014-01-30,5.2,False
30,2014-01-31,2.73,False
