,date,GS stock,isPartial
23,2013-10-24,16.91,False
24,2013-10-25,15.77,False
25,2013-10-26,12.16,False
26,2013-10-27,5.89,False
27,2013-10-28,4.94,False
28,2013-10-29,17.48,False
29,2013-10-30,10.07,False
30,2013-10-31,7.03,False
0,2013-11-01,5.880000000000001,False
1,2013-11-02,4.2,False
2,2013-11-03,4.2,False
3,2013-11-04,7.140000000000001,False
4,2013-11-05,10.500000000000002,False
5,2013-11-06,7.000000000000001,False
6,2013-11-07,5.32,False
7,2013-11-08,5.6000000000000005,False
8,2013-11-09,4.2,False
9,2013-11-10,4.0600000000000005,False
10,2013-11-11,3.5000000000000004,False
11,2013-11-12,3.5000000000000004,False
12,2013-11-13,5.32,False
13,2013-11-14,10.64,False
14,2013-11-15,5.6000000000000005,False
15,2013-11-16,8.4,False
16,2013-11-17,0.0,False
17,2013-11-18,14.000000000000002,False
18,2013-11-19,3.5000000000000004,False
19,2013-11-20,3.5000000000000004,False
20,2013-11-21,7.140000000000001,False
21,2013-11-22,5.460000000000001,False
22,2013-11-23,8.260000000000002,False
23,2013-11-24,0.0,False
24,2013-11-25,13.72,False
25,2013-11-26,8.540000000000001,False
26,2013-11-27,0.0,False
27,2013-11-28,0.0,False
28,2013-11-29,5.6000000000000005,False
29,2013-11-30,0.0,False
0,2013-12-01,4.5,False
1,2013-12-02,7.8,False
2,2013-12-03,6.0,False
3,2013-12-04,7.949999999999999,False
4,2013-12-05,14.1,False
5,2013-12-06,4.2,False
6,2013-12-07,4.8,False
7,2013-12-08,4.8,False
8,2013-12-09,8.1,False
9,2013-12-10,7.949999999999999,False
10,2013-12-11,8.1,False
11,2013-12-12,0.0,False
12,2013-12-13,4.35,False
13,2013-12-14,4.95,False
14,2013-12-15,4.8,False
15,2013-12-16,6.1499999999999995,False
16,2013-12-17,10.35,False
17,2013-12-18,8.25,False
18,2013-12-19,8.549999999999999,False
19,2013-12-20,13.65,False
20,2013-12-21,4.95,False
21,2013-12-22,0.0,False
22,2013-12-23,9.0,False
23,2013-12-24,15.0,False
24,2013-12-25,5.55,False
25,2013-12-26,4.6499999999999995,False
26,2013-12-27,9.0,False
27,2013-12-28,9.9,False
28,2013-12-29,4.8,False
29,2013-12-30,6.6,False
30,2013-12-31,9.9,False
0,2014-01-01,4.94,False
1,2014-01-02,3.99,False
2,2014-01-03,14.06,False
3,2014-01-04,8.93,False
4,2014-01-05,8.93,False
5,2014-01-06,9.69,False
6,2014-01-07,3.8,False
7,2014-01-08,13.3,False
8,2014-01-09,11.4,False
9,2014-01-10,5.89,False
10,2014-01-11,8.74,False
11,2014-01-12,4.37,False
12,2014-01-13,5.51,False
13,2014-01-14,7.41,False
14,2014-01-15,9.31,False
15,2014-01-16,19.0,False
16,2014-01-17,13.68,False
17,2014-01-18,17.86,False
18,2014-01-19,4.37,False
19,2014-01-20,11.21,False
20,2014-01-21,11.02,False
21,2014-01-22,7.22,False
22,2014-01-23,3.8,False
23,2014-01-24,3.8,False
24,2014-01-25,8.74,False
25,2014-01-26,8.74,False
26,2014-01-27,9.120000000000001,False
27,2014-01-28,0.0,False
28,2014-01-29,11.02,False
29,2014-01-30,13.3,False
30,2014-01-31,3.99,False
0,2014-02-01,5.4,False
1,2014-02-02,8.0,False
2,2014-02-03,4.6000000000000005,False
3,2014-02-04,6.0,False
4,2014-02-05,4.6000000000000005,False
5,2014-02-06,16.8,False
6,2014-02-07,19.200000000000003,False
7,2014-02-08,5.4,False
8,2014-02-09,10.600000000000001,False
9,2014-02-10,11.200000000000001,False
10,2014-02-11,12.0,False
11,2014-02-12,11.4,False
12,2014-02-13,9.200000000000001,False
13,2014-02-14,11.200000000000001,False
14,2014-02-15,5.4,False
15,2014-02-16,8.0,False
16,2014-02-17,6.800000000000001,False
17,2014-02-18,13.600000000000001,False
18,2014-02-19,20.0,False
19,2014-02-20,10.8,False
20,2014-02-21,11.200000000000001,False
21,2014-02-22,7.2,False
22,2014-02-23,5.4,False
23,2014-02-24,13.600000000000001,False
24,2014-02-25,6.0,False
25,2014-02-26,6.0,False
26,2014-02-27,9.200000000000001,False
27,2014-02-28,12.8,False
0,2014-03-01,15.13,False
