,date,PFE stock,isPartial
2,2014-02-03,4.140000000000001,False
3,2014-02-04,12.42,False
4,2014-02-05,16.79,False
5,2014-02-06,23.0,False
6,2014-02-07,18.630000000000003,False
7,2014-02-08,0.0,False
8,2014-02-09,0.0,False
9,2014-02-10,0.0,False
10,2014-02-11,4.140000000000001,False
11,2014-02-12,8.280000000000001,False
12,2014-02-13,12.65,False
13,2014-02-14,4.37,False
14,2014-02-15,0.0,False
15,2014-02-16,0.0,False
16,2014-02-17,0.0,False
17,2014-02-18,16.560000000000002,False
18,2014-02-19,4.140000000000001,False
19,2014-02-20,12.88,False
20,2014-02-21,13.110000000000001,False
21,2014-02-22,4.83,False
22,2014-02-23,0.0,False
23,2014-02-24,8.280000000000001,False
24,2014-02-25,8.51,False
25,2014-02-26,16.560000000000002,False
26,2014-02-27,4.140000000000001,False
27,2014-02-28,4.37,False
0,2014-03-01,4.08,False
1,2014-03-02,4.08,False
2,2014-03-03,17.04,False
3,2014-03-04,14.16,False
4,2014-03-05,17.52,False
5,2014-03-06,13.92,False
6,2014-03-07,16.32,False
7,2014-03-08,4.08,False
8,2014-03-09,4.08,False
9,2014-03-10,12.24,False
10,2014-03-11,12.0,False
11,2014-03-12,17.28,False
12,2014-03-13,12.0,False
13,2014-03-14,14.399999999999999,False
14,2014-03-15,4.08,False
15,2014-03-16,4.08,False
16,2014-03-17,12.24,False
17,2014-03-18,13.68,False
18,2014-03-19,5.279999999999999,False
19,2014-03-20,5.279999999999999,False
20,2014-03-21,7.199999999999999,False
21,2014-03-22,7.92,False
22,2014-03-23,4.08,False
23,2014-03-24,5.04,False
24,2014-03-25,8.4,False
25,2014-03-26,6.96,False
26,2014-03-27,8.64,False
27,2014-03-28,18.0,False
28,2014-03-29,4.08,False
29,2014-03-30,0.0,False
30,2014-03-31,24.0,False
0,2014-04-01,3.08,False
1,2014-04-02,15.96,False
2,2014-04-03,6.44,False
3,2014-04-04,16.240000000000002,False
4,2014-04-05,11.200000000000001,False
5,2014-04-06,3.6400000000000006,False
6,2014-04-07,21.840000000000003,False
7,2014-04-08,28.000000000000004,False
8,2014-04-09,9.520000000000001,False
9,2014-04-10,15.96,False
10,2014-04-11,13.440000000000001,False
11,2014-04-12,0.0,False
12,2014-04-13,0.0,False
13,2014-04-14,15.96,False
14,2014-04-15,9.24,False
15,2014-04-16,19.32,False
16,2014-04-17,6.720000000000001,False
17,2014-04-18,3.6400000000000006,False
18,2014-04-19,0.0,False
19,2014-04-20,0.0,False
20,2014-04-21,13.72,False
21,2014-04-22,15.680000000000001,False
22,2014-04-23,3.08,False
23,2014-04-24,9.520000000000001,False
24,2014-04-25,6.720000000000001,False
25,2014-04-26,0.0,False
26,2014-04-27,7.280000000000001,False
27,2014-04-28,6.16,False
28,2014-04-29,21.840000000000003,False
29,2014-04-30,19.32,False
0,2014-05-01,13.440000000000001,False
1,2014-05-02,11.200000000000001,False
2,2014-05-03,5.040000000000001,False
3,2014-05-04,4.760000000000001,False
4,2014-05-05,16.520000000000003,False
5,2014-05-06,20.44,False
6,2014-05-07,18.200000000000003,False
7,2014-05-08,16.8,False
8,2014-05-09,28.000000000000004,False
9,2014-05-10,4.760000000000001,False
10,2014-05-11,4.760000000000001,False
11,2014-05-12,18.200000000000003,False
12,2014-05-13,20.160000000000004,False
13,2014-05-14,24.360000000000003,False
14,2014-05-15,16.520000000000003,False
15,2014-05-16,14.840000000000002,False
16,2014-05-17,10.080000000000002,False
17,2014-05-18,7.280000000000001,False
18,2014-05-19,14.280000000000001,False
19,2014-05-20,12.32,False
